symbol,name,url
kospi,코스피지수,https://kr.investing.com/indices/kospi-historical-data
kospi-50,코스피 50,https://kr.investing.com/indices/kospi-50-historical-data
kosdaq,코스닥,https://kr.investing.com/indices/kosdaq-historical-data
us-30,다우존스,https://kr.investing.com/indices/us-30-historical-data
us-spx-500,S&P 500,https://kr.investing.com/indices/us-spx-500-historical-data
nasdaq-composite,나스닥종합지수,https://kr.investing.com/indices/nasdaq-composite-historical-data
smallcap-2000,러셀 2000,https://kr.investing.com/indices/smallcap-2000-historical-data
volatility-s-p-500,CBOE VIX,https://kr.investing.com/indices/volatility-s-p-500-historical-data
s-p-tsx-composite,캐나다 S&P/TSX,https://kr.investing.com/indices/s-p-tsx-composite-historical-data
bovespa,브라질 보베스파,https://kr.investing.com/indices/bovespa-historical-data
ipc,S&P/BMV IPC,https://kr.investing.com/indices/ipc-historical-data
germany-30,DAX,https://kr.investing.com/indices/germany-30-historical-data
uk-100,영국 FTSE,https://kr.investing.com/indices/uk-100-historical-data
france-40,프랑스 CAC,https://kr.investing.com/indices/france-40-historical-data
eu-stoxx50,유로 스톡스 50,https://kr.investing.com/indices/eu-stoxx50-historical-data
netherlands-25,네덜란드 AEX,https://kr.investing.com/indices/netherlands-25-historical-data
spain-35,스페인 IBEX,https://kr.investing.com/indices/spain-35-historical-data
it-mib-40,이탈리아 FTSE MIB,https://kr.investing.com/indices/it-mib-40-historical-data
switzerland-20,스위스 SMI,https://kr.investing.com/indices/switzerland-20-historical-data
psi-20,포르투갈 PSI,https://kr.investing.com/indices/psi-20-historical-data
bel-20,벨기에 BEL,https://kr.investing.com/indices/bel-20-historical-data
atx,ATX,https://kr.investing.com/indices/atx-historical-data
omx-stockholm-30,스웨덴 OMXS,https://kr.investing.com/indices/omx-stockholm-30-historical-data
mcx,러시아 MOEX,https://kr.investing.com/indices/mcx-historical-data
rtsi,RTSI 지수,https://kr.investing.com/indices/rtsi-historical-data
wig-20,폴란드 WIG 20,https://kr.investing.com/indices/wig-20-historical-data
hungary-stock-market,헝가리 BUX,https://kr.investing.com/indices/hungary-stock-market-historical-data
ise-100,터키 BIST,https://kr.investing.com/indices/ise-100-historical-data
ta25,TA 35,https://kr.investing.com/indices/ta25-historical-data
tasi,사우디아라비아 Tadawul,https://kr.investing.com/indices/tasi-historical-data
japan-ni225,닛케이,https://kr.investing.com/indices/japan-ni225-historical-data
aus-200,호주 S&P/ASX,https://kr.investing.com/indices/aus-200-historical-data
shanghai-composite,상하이종합,https://kr.investing.com/indices/shanghai-composite-historical-data
szse-component,SZSE Component,https://kr.investing.com/indices/szse-component-historical-data
ftse-china-a50,China A50,https://kr.investing.com/indices/ftse-china-a50-historical-data
dj-shanghai,DJ Shanghai,https://kr.investing.com/indices/dj-shanghai-historical-data
hang-sen-40,항셍,https://kr.investing.com/indices/hang-sen-40-historical-data
taiwan-weighted,대만 가권,https://kr.investing.com/indices/taiwan-weighted-historical-data
thailand-set,SET,https://kr.investing.com/indices/thailand-set-historical-data
idx-composite,인도네시아 IDX,https://kr.investing.com/indices/idx-composite-historical-data
s-p-cnx-nifty,Nifty 50,https://kr.investing.com/indices/s-p-cnx-nifty-historical-data
sensex,인도 센섹스,https://kr.investing.com/indices/sensex-historical-data
vn-30,VN 30,https://kr.investing.com/indices/vn-30-historical-data
